ID,Name,Article / Other Name,Description,AI Life Cycle Stage,High Level Principle,Associated Principles,Task,Level of Development,Sector,Tool Type,Programming Language,DOI / URL,Year,Authors / Owners,Other Links
128,Dealing with Bias and Fairness in Data Science Systems: A Practical Hands-on Tutorial,,,Businness and problem understanding; Performance evaluation,Beneficence; Justice,Social Good; Fairness; Auditability; Literacy,Does not apply,"4,2",Academic,Tutorial; Resource Compendium; Case Studies,Python,https://dssg.github.io/fairness_tutorial/,2020,"Pedro Saleiro, Kit T. Rodolfa, Rayid Ghani","https://textbook.coleridgeinitiative.org/chap-bias.html

https://textbook.coleridgeinitiative.org

https://github.com/dssg/fairness_tutorial"
129,Ethics as a Service: A Pragmatic Operationalisation of AI Ethics,Ethics as a Service: A Pragmatic Operationalisation of AI Ethics,,Planning and design,Beneficence,Social Good; Responsibility,Does not apply,Does not apply,Academic,Article,Does not apply,https://doi.org/10.1007/s11023-021-09563-w,2021,"Jessica Morley, Anat Elhalal, Francesca Garcia, Libby Kinsey, Jakob Mökander, Luciano Floridi",
130,Responsible Artificial Intelligence: How to Develop and Use AI in a Responsible Way,Responsible Artificial Intelligence: How to Develop and Use AI in a Responsible Way,,Businness and problem understanding; Planning and design,Beneficence; Beneficence,Social Good; Responsibility; Literacy,Does not apply,Does not apply,Academic,Book; Resource Compendium,Does not apply,https://doi.org/10.1007/978-3-030-30371-6,2019,Virginia Dignum,https://sci-hub.se/10.1007/978-3-030-30371-6
131,"Ethical AI frameworks, tool kits, principles, and certifications - Oh my!",,,Businness and problem understanding; Planning and design,Beneficence; Autonomy,Social Good; Agency; Well-being; Trust; Literacy,Does not apply,"4,1",Academic,Website; Resource Compendium; Tool Compendium,Does not apply,https://blog.salesforceairesearch.com/frameworks-tool-kits-principles-and-oaths-oh-my/,2019,Kathy Baxter,
132,Understanding artificial intelligence ethics and safety: A guide for the responsible design and implementation of AI systems in the public sector,Understanding artificial intelligence ethics and safety: A guide for the responsible design and implementation of AI systems in the public sector,,"Businness and problem understanding; Planning and design; Collection, understanding and preparation of data; Performance evaluation; Deployment and monitoring",Beneficence; Non-Maleficence; Autonomy; Justice; Explicability,Social Good; Sustainability; Safety; Privacy; Reliability; Fairness; Auditability; Transparency; Interpretability; Responsibility,Does not apply,4,Academic,Guide; Tool Compendium; Resource Compendium,Does not apply,https://doi.org/10.5281/zenodo.3240529,2019,"David Leslie, The Alan Turing Institute","https://www.turing.ac.uk/news/publications/understanding-artificial-intelligence-ethics-and-safety

https://www.turing.ac.uk/sites/default/files/2019-06/understanding_artificial_intelligence_ethics_and_safety.pdf

https://www.turing.ac.uk/opportunities/skills-turing/learning-turing"
133,Privacy Meter,,,Model setup and training; Performance evaluation,Non-Maleficence; Justice,Privacy; Reliability; Security; Auditability,Regression; Binary Classification; Multi-class Classification; Natural Language Processing; Computer Vision,"4,3",Academic,Code; Article,Python,https://github.com/privacytrustlab/ml_privacy_meter,2020,"NUS Data Privacy, Trustworthy Machine Learning Lab","https://doi.org/10.48550/arXiv.2111.09679

https://doi.org/10.48550/arXiv.2007.09339

https://doi.org/10.1109/SP.2019.00065

https://doi.org/10.1109/SP.2017.41

https://www.intel.com/content/www/us/en/developer/articles/technical/how-openfl-and-privacy-meter-empower-data-privacy.html

https://github.com/securefederatedai/openfl"
134,Learning Interpretability Tool (LIT),"The Language Interpretability Tool: Extensible, Interactive Visualizations and Analysis for NLP Models",,Performance evaluation,Explicability,Explicability; Interpretability,Regression; Binary Classification; Multi-class Classification; Natural Language Processing; Computer Vision,"4,6",Private; Academic,Article; Code; Website,Python,https://doi.org/10.18653/v1/2020.emnlp-demos.15,2020,"Ian Tenney, James Wexler, Jasmijn Bastings, Tolga Bolukbasi, Andy Coenen, Sebastian Gehrmann, Ellen Jiang, Mahima Pushkarna, Carey Radebaugh, Emily Reif, Ann Yuan","https://github.com/pair-code/lit

https://pair-code.github.io/lit/"
135,Saliency,,,Model setup and training; Performance evaluation,Explicability; Explicability,Explicability; Interpretability,Computer Vision,"4,2",Private; Academic,Code; Examples,Python,https://github.com/PAIR-code/saliency,2019,Google PAIR Team,https://pair-code.github.io/saliency
136,System Cards,System-Level Transparency of Machine Learning,,Performance evaluation; Deployment and monitoring,Explicability; Explicability,Traceability; Explicability; Transparency,Does not apply,4,Private,Article; Website,Does not apply,https://ai.facebook.com/research/publications/system-level-transparency-of-machine-learning,2022,"Bilal Alsallakh, Adeel Cheema, Chavez Procope, David Adkins, Emily McReynolds, Erin Wang, Grace Pehl, Nekesha Green, Polina Zvyagina","https://ai.facebook.com/tools/system-cards/

https://ai.facebook.com/blog/system-cards-a-new-resource-for-understanding-how-ai-systems-work/

https://arxiv.org/abs/2204.13582"
137,An Ethical Toolkit for Engineering/Design Practice,,,Planning and design; Planning and design,Beneficence; Justice,Social Good; Responsibility; Auditability,Does not apply,Does not apply,Academic,Guide; Tool Compendium; Theory Document,Does not apply,https://www.scu.edu/ethics-in-technology-practice/ethical-toolkit/,2018,"Shannon Vallor, Regis McKenna, Dianne McKenna","https://www.scu.edu/media/ethics-center/technology-ethics/Ethics-Toolkit.pdf

https://www.scu.edu/ethics/"
138,HAX Toolkit,Human-AI Experience (HAX) Toolkit,,Planning and design,Beneficence,Social Good; Well-being,Does not apply,"4,6",Private,Website; Tool Compendium; Guidelines; Playbook,Does not apply,https://www.microsoft.com/en-us/haxtoolkit/,2019,Microsoft,"https://www.microsoft.com/en-us/haxtoolkit/toolkit-overview/

https://www.microsoft.com/en-us/research/project/hax-toolkit/"
139,Algorithmic Accountability Policy Toolkit,,,Planning and design; Deployment and monitoring,Non-Maleficence; Explicability,Accountability; Reliability; Transparency; Traceability,Does not apply,4,NGO,Tool Compendium; Resource Compendium; Report; Guide,Does not apply,https://ainowinstitute.org/publication/algorithmic-accountability-policy-toolkit,2018,AI Now Institute,https://ainowinstitute.org/wp-content/uploads/2023/04/aap-toolkit.pdf
140,Responsible AI: AI you can trust,PwC's Responsible AI: AI you can trust,,"Planning and design; Collection, understanding and preparation of data; Model setup and training; Performance evaluation; Deployment and monitoring",Beneficence; Non-Maleficence; Justice; Justice; Explicability; Governance,Social Good; Responsibility; Security; Safety; Privacy; Fairness; Explicability; Interpretability,Does not apply,"4,5",Private,Website,Does not apply,https://www.pwc.com/gx/en/issues/data-and-analytics/artificial-intelligence/what-is-responsible-ai.html,2019,PwC United Kingdom,"https://www.pwcresearch.com/uc/RegAI2020/ospe.php?SES=3eaa06c108efa6801d68ba1320631f3c&syid=54769&sid=54770&act=start&js=15&flash=0&devicetype=0

https://www.pwc.com/gx/en/issues/data-and-analytics/artificial-intelligence/what-is-responsible-ai/pwc-responsible-ai.pdf

https://www.pwc.com/gx/en/issues/data-and-analytics/artificial-intelligence/what-is-responsible-ai/pwc-responsible-ai-maturing-from-theory-to-practice.pdf"
141,Algorithmic Equity Toolkit (AEKit),,,Businness and problem understanding; Performance evaluation; Performance evaluation; Deployment and monitoring,Non-Maleficence; Justice; Explicability; Explicability,Traceability; Transparency; Reliability; Prevention,Does not apply,4,Academic; NGO,Tool Compendium; Guide; Website,Does not apply,https://www.aclu-wa.org/AEKit,2019,"Bissan Barghouti, Corinne Bintz, Dharma Dailey, Micah Epstein, Vivian Guetler, Bernease Herman, Pa Ousman Jobe, Michael Katell, P. M. Krafft, Jennifer Lee, Shankar Narayan, Franziska Putz, Daniella Raz, Brian Robick, Aaron Tam, Abiel Woldu, Meg Young, Tech Fairness Coalition, ACLU of Washington",https://critplat.org/aekit-faq/
142,"Diversity Toolkit: A Guide to Discussing Identity, Power and Privilege",,,Businness and problem understanding; Businness and problem understanding,Beneficence; Justice,Human Rights; Social Good; Inclusion; Diversity; Fairness,Does not apply,Does not apply,Academic,Guide; Website; Resource Compendium,Does not apply,https://msw.usc.edu/mswusc-blog/diversity-workshop-guide-to-discussing-identity-power-and-privilege/,2020,University of Southern California,
143,audit-AI,,,Performance evaluation,Justice,Fairness; Auditability,Regression; Binary Classification; Multi-class Classification,"3,8",Private,Code,Python,https://github.com/pymetrics/audit-ai,2019,Data Science Team (Pymetrics),
144,PROBAST,PROBAST: A Tool to Assess Risk of Bias and Applicability of Prediction Model Studies: Explanation and Elaboration,,Businness and problem understanding,Justice,Fairness; Auditability,Does not apply,Does not apply,Academic,Article; Practical Framework,Does not apply,https://doi.org/10.7326/M18-1376,2019,"Robert F. Wolff, Karel G.M. Moons, Richard D. Riley, Penny F. Whiting, Marie Westwood, Gary S. Collins, Johannes B. Reitsma, Jos Kleijnen, Sue Mallett","https://www.probast.org/wp-content/uploads/2020/02/PROBAST_20190515.pdf

https://www.probast.org/"
145,deon,deon: An ethics checklist for data scientists,,Businness and problem understanding; Planning and design,Beneficence; Non-Maleficence,Social Good; Responsibility; Reliability,Does not apply,"4,1",Private; Public; NGO,Code; Checklist,Python,https://github.com/drivendataorg/deon,2018,DrivenData Team,https://deon.drivendata.org/
146,AI Fairness 360 (AIF360),"AI Fairness 360: An Extensible Toolkit for Detecting, Understanding, and Mitigating Unwanted Algorithmic Bias",,"Collection, understanding and preparation of data; Model setup and training; Performance evaluation",Justice; Justice; Justice,Fairness; Auditability,Binary Classification; Multi-class Classification,"4,5",Private,Article; Code; Website,Python; R,https://doi.org/10.48550/arXiv.1810.01943,2018,"Rachel K. E. Bellamy, Kuntal Dey, Michael Hind, Samuel C. Hoffman, Stephanie Houde, Kalapriya Kannan, Pranay Lohia, Jacquelyn Martino, Sameep Mehta, Aleksandra Mojsilovic, Seema Nagar, Karthikeyan Natesan Ramamurthy, John Richards, Diptikalyan Saha, Prasanna Sattigeri, Moninder Singh, Kush R. Varshney, Yunfeng Zhang, IBM","https://github.com/Trusted-AI/AIF360

http://aif360.mybluemix.net/"
147,Ethics & Algorithms Toolkit (beta),,,Planning and design; Planning and design; Performance evaluation,Beneficence; Non-Maleficence; Justice,Social Good; Responsibility; Prevention; Safety; Fairness; Trade-offs,Does not apply,4,Public; NGO; Academic,Guide; Resource Compendium; Website; Tool Compendium,Does not apply,https://ethicstoolkit.ai/,2018,"David Anderson, Joy Bonaguro, Miriam McKinney, Andrew Nicklin, Jane Wiseman",
148,AI Explainability 360 (AIX360),One Explanation Does Not Fit All: A Toolkit and Taxonomy of AI Explainability Techniques,,Model setup and training; Performance evaluation,Explicability; Explicability,Explicability; Interpretability,Multi-class Classification; Natural Language Processing; Computer Vision; Regression,"4,5",Private,Article; Code; Website,Python,https://doi.org/10.48550/arXiv.1909.03012,2019,"Vijay Arya, Rachel K. E. Bellamy, Pin-Yu Chen, Amit Dhurandhar, Michael Hind, Samuel C. Hoffman, Stephanie Houde, Q. Vera Liao, Ronny Luss, Aleksandra Mojsilović, Sami Mourad, Pablo Pedemonte, Ramya Raghavendra, John Richards, Prasanna Sattigeri, Karthikeyan Shanmugam, Moninder Singh, Kush R. Varshney, Dennis Wei, Yunfeng Zhang, IBM","https://github.com/Trusted-AI/AIX360

http://aix360.mybluemix.net/"
149,AI Ethics Lab,,,"Businness and problem understanding; Planning and design; Collection, understanding and preparation of data; Model setup and training; Performance evaluation; Deployment and monitoring",Beneficence; Non-Maleficence; Non-Maleficence; Justice; Justice; Non-Maleficence; Governance,Social Good; Responsibility; Reliability; Auditability; Prevention,Does not apply,"4,7",Private,Website; Practical Framework; Tool Compendium,Does not apply,https://aiethicslab.com/,2018,AI Ethics Lab,"https://aiethicslab.com/the-box/

https://aiethicslab.com/big-picture

https://aiethicslab.com/pie-model"
150,Ethical OS,,,Planning and design; Planning and design,Non-Maleficence; Justice,Reliability; Safety; Prevention; Trade-offs,Does not apply,"4,4",NGO,Website; Tool Compendium; Guide; Checklist,Does not apply,https://ethicalos.org/,2018,"Omidyar Network, Institute for the Future","https://ethicalos.org/wp-content/uploads/2018/08/Ethical-OS-Toolkit-2.pdf

https://ethicalos.org/wp-content/uploads/2018/08/EthicalOS_Check-List_080618.pdf"
151,AI Ethics Tool Landscape,,,Planning and design; Planning and design; Planning and design,Non-Maleficence; Justice; Explicability,Accountability; Privacy; Security; Fairness; Explicability; Interpretability,Does not apply,4,Academic,Website; Tool Compendium,Does not apply,https://edwinwenink.github.io/ai-ethics-tool-landscape/,2021,Edwin Wenink,https://github.com/EdwinWenink/ai-ethics-tool-landscape
152,Agile Ethics for AI (HAI),,,Planning and design,Beneficence,Social Good; Well-being; Responsibility,Does not apply,"4,5",NGO; Academic,Website; Resource Compendium; Tool Compendium; Guide,Does not apply,https://trello.com/b/SarLFYOd/agile-ethics-for-ai-hai,2018,"Catalina Butnaru, David Benrimoh, Andreas Theodorou","http://web.archive.org/web/20190719014913/https://humansinai.com/wp-content/uploads/2018/01/Humans-in-AI-Design-process-for-AI.pdf

http://web.archive.org/web/20181127125034/https://humansinai.com/"
153,Evaluate,,,"Collection, understanding and preparation of data; Performance evaluation",Justice; Non-Maleficence,Auditability; Reliability,Regression; Binary Classification; Multi-class Classification; Natural Language Processing; Computer Vision,4,Private,Code; Website,Python,https://github.com/huggingface/evaluate,2020,Hugging Face Community,"https://huggingface.co/docs/evaluate/index

https://huggingface.co/evaluate-metric"
154,FAT Forensics,"FAT Forensics: A Python Toolbox for Implementing and Deploying Fairness, Accountability and Transparency Algorithms in Predictive Systems",,"Collection, understanding and preparation of data; Performance evaluation; Performance evaluation",Non-Maleficence; Justice; Explicability,Accountability; Reliability; Fairness; Explicability; Interpretability,Multi-class Classification; Computer Vision,4,Academic,Article; Code,Python,https://doi.org/10.21105/joss.01904,2019,"Kacper Sokol, Alexander Hepburn, Rafael Poyiadzi, Matthew Clifford, Raul Santos-Rodriguez, Peter Flach","https://github.com/fat-forensics/fat-forensics

https://fat-forensics.org/

https://github.com/bethgelab/foolbox

https://github.com/cleverhans-lab/cleverhans"
155,Triage,,,"Collection, understanding and preparation of data; Collection, understanding and preparation of data; Model setup and training; Performance evaluation",Beneficence; Non-Maleficence; Justice; Justice,Social Good; Responsibility; Quality Data; Reliability; Fairness; Accountability,Regression; Binary Classification; Multi-class Classification,"4,5",Academic,Code,Python,https://github.com/dssg/triage,2017,"Data Science for Social Good, Carnegie Mellon University",https://dssg.github.io/triage/
156,DiCE ,Explaining Machine Learning Classifiers through Diverse Counterfactual Explanations,,Performance evaluation,Explicability,Explicability; Interpretability,Regression; Binary Classification; Multi-class Classification,"4,5",Private; Academic,Article; Code,Python,https://doi.org/10.1145/3351095.3372850,2020,"Ramaravind Kommiya Mothilal, Amit Sharma, Chenhao Tan","https://github.com/interpretml/DiCE

http://interpret.ml/DiCE/index.html"
157,Fairness Measures,,,"Collection, understanding and preparation of data; Performance evaluation",Justice; Justice,Fairness; Auditability,Binary Classification,"3,6",Academic,Code; Dataset; Website,Python,https://fairnessmeasures.github.io/,2017,"Meike Zehlike, Carlos Castillo, Francesco Bonchi, Mohamed Megahed, Lin Yang, Ricardo Baeza-Yates, Sara Hajian",https://github.com/FairnessMeasures/fairness-measures-code
158,A comparative study of fairness-enhancing interventions in machine learning,,,Performance evaluation,Justice,Fairness; Auditability,Binary Classification,"3,8",Academic,Article; Code; Examples,Python,https://doi.org/10.48550/arXiv.1802.04422,2018,"Sorelle A. Friedler, Carlos Scheidegger, Suresh Venkatasubramanian, Sonam Choudhary, Evan P. Hamilton, Derek Roth",https://github.com/algofairness/fairness-comparison
159,Themis ML,Themis ML:  A Fairness-aware Machine Learning Interface for End-to-end Discrimination Discovery and Mitigation,,"Collection, understanding and preparation of data; Model setup and training; Performance evaluation",Justice; Justice; Justice,Fairness; Auditability,Binary Classification,"3,9",Academic,Article; Code; Dataset; Examples,Python,https://doi.org/10.48550/arXiv.1710.06921,2017,Niels Bantilan,https://github.com/cosmicBboy/themis-ml
160,Fairness Indicators,,,"Collection, understanding and preparation of data; Performance evaluation",Justice; Justice,Fairness; Auditability,Binary Classification; Multi-class Classification,"4,3",Private; Academic,Code; Examples; Case Studies,Python,https://github.com/tensorflow/fairness-indicators,2019,"TensorFlow, Google",https://github.com/tensorflow/fairness-indicators/blob/master/g3doc/guide/guidance.md
161,UnBias Fairness Toolkit,,,"Businness and problem understanding; Planning and design; Collection, understanding and preparation of data",Beneficence; Autonomy; Justice,Social Good; Well-being; Responsibility; Agency; Fairness; Prevention,Does not apply,"4,1",Academic; NGO,Guide; Practical Framework; Tool Compendium,Does not apply,https://doi.org/10.5281/zenodo.2667808,2018,"Giles Lane, Alice Angus, Alex Murdoch",https://unbias.wp.horizon.ac.uk/fairness-toolkit/
162,ELI5,,,Performance evaluation,Explicability,Explicability; Interpretability,Regression; Binary Classification; Multi-class Classification; Computer Vision,"4,2",Academic,Code,Python,https://github.com/eli5-org/eli5,2017,"Mikhail Korobov, Konstantin Lopuhin",https://eli5.readthedocs.io/en/latest/
163,inFairness,inFairness: Individual Fairness for Machine Learning,,Model setup and training; Performance evaluation,Justice; Justice,Fairness,Binary Classification; Multi-class Classification; Natural Language Processing,"4,3",Private,Code,Python,https://github.com/IBM/inFairness,2022,"Mikhail Yurochkin, Mayank Agarwal, Aldo Pareja, Onkar Bhardwaj","https://ibm.github.io/inFairness/index.html

https://fairbert.vizhub.ai/"
164,FairSight,FairSight: Visual analytics for fairness in decision making,,"Collection, understanding and preparation of data; Model setup and training; Performance evaluation",Justice; Justice; Explicability,Fairness; Auditability; Explicability,Binary Classification; Multi-class Classification,"4,4",Academic,Code; Program; Article,Python; JavaScript,https://doi.org/10.48550/arXiv.1908.00176,2019,"Yongsu Ahn, Yu-Ru Lin",https://github.com/ayong8/FairSight
165,Man is to Computer Programmer as Woman is to Homemaker? Debiasing Word Embeddings,Man is to Computer Programmer as Woman is to Homemaker? Debiasing Word Embeddings,,"Collection, understanding and preparation of data",Justice,Fairness,Natural Language Processing,4,Academic,Code; Article,Python,https://doi.org/10.48550/arXiv.1607.06520,2016,"Tolga Bolukbasi, Kai-Wei Chang, James Zou, Venkatesh Saligrama, Adam Kalai",https://github.com/tolga-b/debiaswe
166,DEBIE: A General Framework for Implicit and Explicit Debiasing of Distributional Word Vector Spaces,DEBIE: A General Framework for Implicit and Explicit Debiasing of Distributional Word Vector Spaces,,"Collection, understanding and preparation of data",Justice,Fairness,Natural Language Processing,"4,1",Academic,Code; Article,Python,https://doi.org/10.48550/arXiv.1909.06092,2019,"Anne Lauscher, Goran Glavaš, Simone Paolo Ponzetto, Ivan Vulić",https://github.com/anlausch/DEBIE
167,ML Fairness Gym,,,Planning and design; Deployment and monitoring,Justice; Non-Maleficence,Fairness; Prevention; Reliability; Safety,Binary Classification,"4,2",Academic,Code; Examples,Python,https://github.com/google/ml-fairness-gym,2019,ML Fairness Gym Team,
168,Fairness in Machine Learning,,,Model setup and training; Performance evaluation,Justice; Justice,Fairness; Auditability,Binary Classification,4,Academic,Code; Examples,Python,https://github.com/equialgo/fairness-in-ml,2018,"Henk Griffioen, Stijn Tonk, Rogier van der Geer","https://godatadriven.com/blog/towards-fairness-in-ml-with-adversarial-networks/

https://godatadriven.com/blog/fairness-in-machine-learning-with-pytorch/"
169,Black Box Auditing,Auditing Black-box Models for Indirect Influence,,Performance evaluation; Performance evaluation,Justice; Explicability,Auditability; Fairness; Interpretability,Binary Classification,4,Academic,Code; Examples; Dataset; Article,Python,https://doi.org/10.48550/arXiv.1602.07043,2016,"Philip Adler, Casey Falk, Sorelle A. Friedler, Gabriel Rybeck, Carlos Scheidegger, Brandon Smith, Suresh Venkatasubramanian",https://github.com/algofairness/BlackBoxAuditing
170,LinkedIn Fairness Toolkit (LiFT),LiFT: A Scalable Framework for Measuring Fairness in ML Applications,,"Collection, understanding and preparation of data; Performance evaluation",Justice; Justice,Fairness; Auditability,Binary Classification,"4,2",Private,Code; Article,Scala; Spark,https://doi.org/10.48550/arXiv.2008.07433,2020,"Sriram Vasudevan, Krishnaram Kenthapadi",https://github.com/linkedin/LiFT
171,Responsibly Toolkit,Responsibly: Toolkit for Auditing and Mitigating Bias and Fairness of Machine Learning Systems,,"Collection, understanding and preparation of data; Performance evaluation",Justice; Justice,Fairness; Auditability,Binary Classification; Natural Language Processing,"4,1",Academic,Code; Dataset,Python,https://github.com/ResponsiblyAI/responsibly,2018,Shlomi Hod,https://docs.responsibly.ai/
172,CERTIFAI,CERTIFAI: A Common Framework to Provide Explanations and Analyse the Fairness and Robustness of Black-box Models,,Model setup and training; Performance evaluation; Performance evaluation,Justice; Explicability; Non-Maleficence,Fairness; Explicability; Interpretability; Security; Reliability,Binary Classification; Multi-class Classification,"4,1",Academic,Code; Article,Python,https://doi.org/10.1145/3375627.3375812,2020,"Shubham Sharma, Jette Henderson, Joydeep Ghosh",https://github.com/Ighina/CERTIFAI
173,OmniXAI,OmniXAI: A Library for Explainable AI,,"Collection, understanding and preparation of data; Model setup and training; Performance evaluation; Deployment and monitoring",Explicability; Explicability; Explicability; Explicability,Explicability; Interpretability,Regression; Binary Classification; Natural Language Processing; Computer Vision; Multi-class Classification,"4,6",Private,Code; Article,Python,https://doi.org/10.48550/arXiv.2206.01612,2022,"Wenzhuo Yang, Hung Le, Tanmay Laud, Silvio Savarese, Steven C.H. Hoi",https://github.com/salesforce/OmniXAI
174,XAI - An eXplainability toolbox for machine learning,,,"Collection, understanding and preparation of data; Model setup and training; Performance evaluation",Explicability; Explicability; Explicability,Explicability; Interpretability,Binary Classification,"4,2",Academic,Code; Article; Resource Compendium,Python,https://github.com/EthicalML/xai,2019,The Institute for Ethical AI & Machine Learning,"https://ethical.institute/

https://github.com/EthicalML/awesome-production-machine-learning"
175,iml,iml: An R package for Interpretable Machine Learning,,Performance evaluation,Explicability,Interpretability,Binary Classification,4,Academic,Code; Article,R,https://doi.org/10.21105/joss.00786,2018,"Christoph Molnar, Giuseppe Casalicchio, Bernd Bischl","https://github.com/christophM/iml

https://christophm.github.io/interpretable-ml-book/agnostic.html"
176,Interpret Text,Interpret Text - Alpha Release,,"Collection, understanding and preparation of data; Model setup and training; Performance evaluation",Explicability; Explicability; Explicability,Explicability; Interpretability,Natural Language Processing,"4,4",Private,Code,Python,https://github.com/interpretml/interpret-text,2019,"InterpretML Community, Microsoft",
177,iBreakDown,Explanations of model predictions with live and breakDown packages,,Performance evaluation,Explicability,Explicability; Interpretability,Binary Classification; Regression,"4,3",Academic,Code; Article,R,https://doi.org/10.32614/RJ-2018-072,2018,"Mateusz Staniak, Przemysław Biecek","https://github.com/ModelOriented/iBreakDown

https://modeloriented.github.io/iBreakDown/

https://ema.drwhy.ai/breakDown.html"
178,Anchor,Anchors: High-Precision Model-Agnostic Explanations,,Performance evaluation,Explicability,Explicability; Interpretability,Binary Classification; Natural Language Processing,"4,1",Academic,Code; Article,Python,https://doi.org/10.1609/aaai.v32i1.11491,2018,"Marco Tulio Ribeiro, Sameer Singh, Carlos Guestrin",https://github.com/marcotcr/anchor
179,SHAP,A Unified Approach to Interpreting Model Predictions,,Performance evaluation,Explicability,Explicability; Interpretability,Computer Vision; Natural Language Processing; Binary Classification; Regression; Multi-class Classification,"4,6",Academic,Code; Article,Python,https://doi.org/10.48550/arXiv.1705.07874,2017,"Scott Lundberg, Su-In Lee",https://github.com/slundberg/shap
180,Captum,Captum: A unified and generic model interpretability library for PyTorch,,Performance evaluation,Explicability,Explicability; Interpretability,Regression; Binary Classification; Computer Vision; Natural Language Processing; Multi-class Classification,"4,6",Private,Code; Article,Python,https://doi.org/10.48550/arXiv.2009.07896,2020,"Narine Kokhlikyan, Vivek Miglani, Miguel Martin, Edward Wang, Bilal Alsallakh, Jonathan Reynolds, Alexander Melnikov, Natalia Kliushkina, Carlos Araya, Siqi Yan, Orion Reblitz-Richardson",https://github.com/pytorch/captum
181,explabox,,,"Collection, understanding and preparation of data; Performance evaluation",Non-Maleficence; Explicability,Explicability; Interpretability; Safety,Binary Classification; Multi-class Classification; Natural Language Processing,"4,4",Academic,Code,Python,https://github.com/MarcelRobeer/explabox,2022,Marcel Robeer,https://explabox.readthedocs.io/en/latest/index.html
182,DeepVis Toolbox,Understanding Neural Networks Through Deep Visualization,,Model setup and training; Performance evaluation,Explicability; Explicability,Interpretability; Explicability,Computer Vision,4,Academic,Code; Article,Python,https://doi.org/10.48550/arXiv.1506.06579,2015,"Jason Yosinski, Jeff Clune, Anh Nguyen, Thomas Fuchs, Hod Lipson","https://github.com/yosinski/deep-visualization-toolbox

https://yosinski.com/deepvis

https://youtu.be/AgkfIQ4IGaM"
183,GEBI,Towards explainable classifiers using the counterfactual approach - global explanations for discovering bias in data,,"Collection, understanding and preparation of data; Performance evaluation",Justice; Explicability,Fairness; Explicability; Interpretability,Computer Vision,"4,1",Academic,Code; Article,Python,https://doi.org/10.48550/arXiv.2005.02269,2020,"Agnieszka Mikołajczyk, Michał Grochowski, Arkadiusz Kwasigroch",https://github.com/AgaMiko/GEBI
184,iNNvestigate,iNNvestigate Neural Networks!,,Performance evaluation,Explicability,Interpretability,Computer Vision,"4,2",Academic,Code; Article,Python,http://jmlr.org/papers/v20/18-540.html,2019,"Maximilian Alber, Sebastian Lapuschkin, Philipp Seegerer, Miriam Hägele, Kristof T. Schütt, Grégoire Montavon, Wojciech Samek, Klaus-Robert Müller, Sven Dähne, Pieter-Jan Kindermans",https://github.com/albermax/innvestigate
185,TreeInterpreter,,,Performance evaluation,Explicability,Interpretability,Regression; Binary Classification,"3,6",Academic,Code; Examples,Python,https://github.com/andosa/treeinterpreter,2016,"Ando Saabas, Micah Smith, Dennis Collaris, Julian Gilbey, Mickey Shnaiderman, Li Jiangchun, Marc Tollin","http://blog.datadive.net/interpreting-random-forests/

http://blog.datadive.net/random-forest-interpretation-with-scikit-learn/"
186,Skater,,,Performance evaluation,Explicability,Explicability; Interpretability,Computer Vision; Natural Language Processing; Binary Classification; Regression,4,Private,Code,Python,https://github.com/oracle/skater,2018,Oracle,http://web.archive.org/web/20210927095651/https://oracle.github.io/Skater/overview.html
187,7010-2020 - IEEE Recommended Practice for Assessing the Impact of Autonomous and Intelligent Systems on Human Well-Being,7010-2020 - IEEE Recommended Practice for Assessing the Impact of Autonomous and Intelligent Systems on Human Well-Being,,Businness and problem understanding; Planning and design,Beneficence; Beneficence,Well-being; Social Good; Responsibility,Does not apply,4,Private; Public,Standard; Guide,Does not apply,https://doi.org/10.1109/IEEESTD.2020.9084219,2020,Institute of Electrical and Electronics Engineers (IEEE),https://www.researchgate.net/publication/344288261_IEEE_P7010-2020_Standard_Use_Cases_in_Ethical_Impact_on_Human_Wellbeing_Studies
188,FairVis,FairVis: Visual Analytics for Discovering Intersectional Bias in Machine Learning,,"Collection, understanding and preparation of data; Performance evaluation",Justice; Justice,Fairness; Auditability,Binary Classification,"4,3",Academic,Article; Program,JavaScript,https://doi.org/10.48550/arXiv.1904.05419,2019,"Ángel Alexander Cabrera, Will Epperson, Fred Hohman, Minsuk Kahng, Jamie Morgenstern, Duen Horng Chau",https://github.com/poloclub/FairVis
189,explAIner,explAIner: A Visual Analytics Framework for Interactive and Explainable Machine Learning,,Model setup and training; Performance evaluation,Explicability; Explicability,Explicability; Interpretability,Regression; Binary Classification; Natural Language Processing; Computer Vision,"4,4",Private; Academic,Article; Code,TypeScript,https://doi.org/10.48550/arXiv.1908.00087,2019,"Thilo Spinner, Udo Schlegel, Hanna Schäfer, Mennatallah El-Assady","https://explainer.ai

https://github.com/dbvis-ukon/explainer"
190,RetainVis,RetainVis: Visual Analytics with Interpretable and Interactive Recurrent Neural Networks on Electronic Medical Records,,"Collection, understanding and preparation of data; Performance evaluation",Explicability; Explicability,Interpretability,Binary Classification,"4,1",Academic,Code; Article,Python,https://doi.org/10.48550/arXiv.1805.10724,2018,"Bum Chul Kwon, Min-Je Choi, Joanne Taery Kim, Edward Choi, Young Bin Kim, Soonwook Kwon, Jimeng Sun, Jaegul Choo",https://github.com/minjechoi/RetainVis
